NPI,TITLE,FAB_PROD,RET_PROD,PRODUCT,LOT,EXEC_SEQ,OPERATION,OPER_SHORT_DESC,OPER_LONG_DESC,OUT_DATE,LOT_PRIORITY_MOVEIN,AREA,MODULE,ACTIVITY,CUM_ACTIVITY,LAYER
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,1.0,0204,Z EBMSTRT,Z EBM WAFER START QUEUE,2025-07-10 03:58:32,,PC,PC-STARTS,0,0,START
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,14.0,204056,L 8ZRObaSE,L P1278 ZRO ba 1ST LYR SED (ZRO),2025-07-16 19:58:47,2.0,LITHO,LI-SNEli,0,3,ZRO
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,61.0,213233,L 8b NDRaS,L P1278b NDR a SED (ZRO),,,LITHO,LI-SAVli,0,16,NDR
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,87.0,213234,L 8b PDRaS,L P1278b PDR a SED (ZRO),,,LITHO,LI-SAVli,0,22,PDR
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,143.0,213666,L 8bDPRdSE,L P1278 DPRb d SED (ZRO),,,LITHO,LI-SAYli,0,37,DPR
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,191.0,211888,L 8bDNUcSE,L P1278b c DNU SED (DPR),,,LITHO,LI-SAYli,0,48,DNU
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,239.0,204091,L 8b PDI S,"L P1278b PDI SED (DNU,DPR)",,,LITHO,LI-SNEli,0,61,PDI
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,258.0,204095,L 8b NDI S,"L P1278b NDI SED (DNU,DPR)",,,LITHO,LI-SNEli,0,64,NDI
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,318.0,257029,L 8PLYrSE,"L P1278 PLY r SED (DNU,DPR)",,,LITHO,LI-SAYli,0,83,PLY
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,414.0,210621,L 8b PS1 S,"L P1278b PS1 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,107,PS1
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,463.0,210622,L 8b PS2 S,"L P1278b PS2 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,121,PS2
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,500.0,234119,L 8d NESdS,"L P1278d NES d SED (PLY,DPR)",,,LITHO,LI-SAVli,0,133,NES
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,559.0,228847,L 8c FT1cS,"L P1278C FT1 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,153,FT1
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,575.0,228848,L 8c FT2cS,"L P1278C FT2 SED (PLY,DPR)",,,LITHO,LI-SAVli,0,153,FT2
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,629.0,240707,L 8c FTPmS,"L P1278C FTP m SED (PLY,DPR)",,,LITHO,LI-SAVli,0,173,FTP
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,701.0,228394,L 8c DR5S,"L P1278c DR5 box SED (DPR,PLY)",,,LITHO,LI-SAVli,0,201,DR5
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,730.0,258363,L 8xrHNUS,"L P1278  5n4p r3 HNU SED (DPR,PLY)",,,LITHO,LI-SAVli,0,216,VAr
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,763.0,258365,L 8xrDR6S,"L P1278  5n4p r3 DR6 SED (DPR,PLY)",,,LITHO,LI-SAVli,0,232,VAr
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,797.0,242985,L 8 DR4xS,"L P1278 x DR4 SED (DPR,PLY)",,,LITHO,LI-SAVli,0,248,DR4
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,830.0,242990,L 8 HNSxS,"L P1278 HNS x SED (PLY,DCB)",,,LITHO,LI-SAVli,0,264,HNS
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,864.0,242983,L 8 QDMxS,"L P1278 x QDM SED (DPR,PLY)",,,LITHO,LI-SAVli,0,280,QDM
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,908.0,212437,L 8b PB2 S,"L P1278 b PB2 box SED (DPR,PLY)",,,LITHO,LI-SAVli,0,303,PB2
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,957.0,234550,L 8s PBMbS,"L P1278 s PBM b SED (DPR,PLY)",,,LITHO,LI-SAVli,0,324,PBM
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,978.0,235101,L 8s NBMnS,"L P1278 s NBM box SED (DPR,PLY)",,,LITHO,LI-SAVli,0,331,NBM
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,1057.0,261262,L 8TPAdyS,"L P1278 dyDGN TPA SED (PLY,DPR)",,,LITHO,LI-SAYli,0,356,TPA
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,1073.0,261263,L 8TPBdyS,"L P1278 dyDGN TPB SED (TPA,PLY,DPR)",,,LITHO,LI-SAYli,0,357,TPB
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,1126.0,218701,L 8b NSDbS,"L P1278b NSD Bx SED (PLY,DPR)",,,LITHO,LI-SAVli,0,375,NSD
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,1147.0,218702,L 8b PSDbS,"L P1278b PSD Bx SED (PLY,DPR)",,,LITHO,LI-SAVli,0,379,PSD
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,1223.0,261264,L 8GC1dyS,"L P1278 dy GC1 SED (TPAB,PLY)",,,LITHO,LI-SAVli,0,406,GC1
Panther Lake G-1,POR Scout,8PXMCVAG,8PXMCG,8PXMCV A G,A5289210,1237.0,261265,L 8GC2dyS,"L P1278 dy GC2 SED (TPAB,PLY)",,,LITHO,LI-SAVli,0,407,GC2
